Number of Administration of Justice Offences,,,,,,,,,,,
REGION,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Alberni Clayoquot,437,531,473,450,454,404,408,497,535,561,
Bulkley Nechako,546,578,466,675,730,593,608,671,675,639,
Capital,"1,097","1,128","1,238","1,499","1,421","1,476","1,548","2,038","1,770","1,725",
Cariboo,585,591,491,492,546,487,620,791,963,723,
Central Coast,87,37,33,29,31,37,26,35,17,25,
Central Kootenay,295,265,221,202,243,298,295,304,319,344,
Central Okanagan,574,688,776,"1,122","1,318","1,017",830,"1,009","1,433","1,993",
Columbia Shuswap,173,144,108,116,114,167,169,187,191,217,
Comox Valley,299,264,243,302,296,298,285,326,327,382,
Cowichan Valley,379,418,345,464,455,474,525,614,531,367,
East Kootenay,249,224,190,193,210,248,249,346,343,371,
Fraser Fort George,"1,199","1,204","1,194","1,355","1,375","1,402","1,244","1,394","1,526","1,642",
Fraser Valley,811,861,941,"1,119","1,191","1,111","1,187","1,391","1,549","1,296",
Kitimat Stikine,657,581,711,593,636,722,808,910,981,967,
Kootenay Boundary,210,168,149,120,142,206,143,198,210,224,
Metro Vancouver,"5,431","4,979","5,397","6,447","7,115","6,774","6,759","8,026","7,784","6,049",
Mount Waddington,243,202,240,251,211,207,158,229,138,117,
Nanaimo,567,541,552,616,688,581,549,725,637,629,
North Coast (1),353,223,260,278,244,291,304,397,381,281,
North Okanagan,335,368,438,423,338,391,350,472,545,625,
Northern Rockies,109,76,98,67,64,76,87,93,97,69,
Okanagan Similkameen,363,301,266,304,568,693,673,719,676,774,
Peace River,483,450,474,545,527,443,393,612,634,753,
qathet (2),51,76,41,73,69,64,90,117,74,92,
Squamish Lillooet,191,181,144,158,169,173,120,172,209,133,
Strathcona,416,419,509,564,552,451,351,426,318,283,
Sunshine Coast,104,108,99,109,104,85,98,89,85,210,
Thompson Nicola,617,675,631,627,771,780,787,815,765,620,
BRITISH COLUMBIA (3),"16,862","16,284","16,732","19,194","20,584","19,949","19,666","23,606","23,718","22,114",
,,,,,,,,,,,
Footnote:,,,,,,,,,,,
"Administration of justice includes the following offences: fail to comply with order, escape or helps to escape from lawful custody, prisoner unlawfully at large, fail to appear, breach of probation, and other violations against the administration of law and justice.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Source: ,,,,,,,,,,,
"Statistics Canada. Table 35-10-0184-01 Incident-based crime statistics, by detailed violations, police services in British Columbia, annual (number unless otherwise noted)",,,,,,,,,,,
"(accessed August 2, 2022)",,,,,,,,,,,