Number of Homicide Offences,,,,,,,,,,,
REGION,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Alberni Clayoquot,1,1,0,1,2,1,3,0,1,3,
Bulkley Nechako,3,4,1,3,1,1,2,1,4,0,
Capital,4,1,4,9,1,7,2,2,7,5,
Cariboo,0,0,5,1,3,4,8,3,3,4,
Central Coast,0,0,0,0,0,0,0,0,0,0,
Central Kootenay,0,0,0,2,0,2,1,2,0,3,
Central Okanagan,3,3,3,4,6,6,2,1,3,4,
Columbia Shuswap,0,0,0,0,0,1,0,1,0,1,
Comox Valley,0,0,0,1,3,1,0,1,0,0,
Cowichan Valley,0,1,0,1,2,1,0,3,1,3,
East Kootenay,3,1,0,0,0,1,2,1,1,0,
Fraser Fort George,3,1,3,4,4,4,1,5,2,6,
Fraser Valley,6,4,9,9,12,15,11,7,7,9,
Kitimat Stikine,1,2,1,2,1,0,1,2,1,0,
Kootenay Boundary,0,0,2,0,0,1,1,1,0,0,
Metro Vancouver,38,43,46,47,43,53,45,41,48,61,
Mount Waddington,1,1,1,0,0,0,0,0,0,0,
Nanaimo,0,3,2,0,0,3,1,0,3,7,
North Coast (1),0,0,1,1,1,2,0,1,1,1,
North Okanagan,0,3,1,1,1,3,1,0,6,1,
Northern Rockies,0,0,0,1,0,0,0,2,0,1,
Okanagan Similkameen,0,3,0,2,0,4,2,4,2,6,
Peace River,3,2,2,2,1,3,1,1,2,2,
qathet (2),0,0,0,1,0,2,1,0,0,0,
Squamish Lillooet,0,0,0,2,0,1,2,0,1,1,
Strathcona,0,1,3,2,1,1,1,1,1,1,
Sunshine Coast,0,0,1,0,0,0,0,1,1,0,
Thompson Nicola,5,2,4,1,6,2,2,9,5,6,
BRITISH COLUMBIA (3),71,76,89,97,88,119,90,90,100,125,
,,,,,,,,,,,
Footnote:,,,,,,,,,,,
Homicide data are extracted from the Homicide Survey database.  Homicides are counted according to the year in which police file the report.  ,,,,,,,,,,,
,,,,,,,,,,,
Source: ,,,,,,,,,,,
"Statistics Canada. Table 35-10-0184-01 Incident-based crime statistics, by detailed violations, police services in British Columbia, annual (number unless otherwise noted)",,,,,,,,,,,
"(accessed August 2, 2022)",,,,,,,,,,,