Number of Other Criminal Code Offences,,,,,,,,,,,
REGION,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Alberni Clayoquot,"1,104","1,109",930,974,"1,066",916,"1,012","1,163","1,284","1,295",
Bulkley Nechako,"2,119","2,106","1,787","1,721","1,706","1,436","1,412","1,582","1,653","1,755",
Capital,"2,869","2,933","3,130","3,597","3,334","3,039","3,130","4,012","4,259","4,319",
Cariboo,"2,575","2,706","2,670","2,633","2,226","1,977","2,010","2,482","2,224","2,008",
Central Coast,173,104,122,110,100,119,114,141,161,117,
Central Kootenay,878,831,769,859,904,973,889,837,783,792,
Central Okanagan,"3,145","2,805","3,014","3,434","3,511","3,283","3,663","4,522","5,109","6,092",
Columbia Shuswap,862,719,576,650,575,577,640,808,933,884,
Comox Valley,970,917,953,"1,114","1,115","1,188","1,177","1,473","1,447","1,480",
Cowichan Valley,"1,951","1,748","1,326","1,584","1,449","1,364","1,301","2,123","1,789","1,453",
East Kootenay,998,775,728,689,678,754,744,814,878,915,
Fraser Fort George,"5,036","4,460","4,341","4,447","4,279","4,178","3,717","5,750","5,558","4,671",
Fraser Valley,"4,413","4,383","5,013","5,473","5,533","5,827","5,907","6,914","6,881","6,726",
Kitimat Stikine,"2,186","1,984","2,004","2,376","2,243","2,217","2,352","2,581","2,362","1,911",
Kootenay Boundary,551,465,430,372,380,483,420,635,628,663,
Metro Vancouver,"30,491","30,309","29,314","32,092","31,359","29,477","31,262","36,272","35,640","35,393",
Mount Waddington,460,429,451,480,482,399,375,671,688,671,
Nanaimo,"2,914","2,558","2,251","2,392","2,552","2,288","2,624","3,442","3,965","3,957",
North Coast (1),"1,994","1,541","1,243","1,247","1,195",839,949,"1,266","1,156",897,
North Okanagan,"1,284","1,378","1,330","1,311","1,363","1,206","1,313","1,829","1,905","1,904",
Northern Rockies,464,352,298,223,188,195,211,235,246,253,
Okanagan Similkameen,"1,738","1,345","1,347","1,362","1,667","1,992","2,108","2,627","2,845","2,729",
Peace River,"2,061","1,888","2,033","1,754","1,522","1,188",929,"1,427","1,294","1,350",
qathet (2),337,272,255,272,282,275,362,425,325,338,
Squamish Lillooet,"1,288","1,144","1,124","1,189","1,189","1,143",927,"1,134","1,094",936,
Strathcona,"1,414","1,362","1,482","1,410","1,496","1,262","1,057","1,533","1,471","1,462",
Sunshine Coast,527,377,305,394,293,286,289,464,477,616,
Thompson Nicola,"2,688","2,865","2,952","2,722","3,173","3,125","2,826","3,104","3,683","3,948",
BRITISH COLUMBIA (3),"77,498","73,873","72,186","76,892","75,873","72,008","73,730","90,281","90,747","89,548",
,,,,,,,,,,,
Footnote:,,,,,,,,,,,
"Other crimes include Criminal Code offences not classified as either violent or property crimes, such as offences related to counterfeiting, offensive weapons, child pornography, disturbing the peace, the administration of justice, and other “other” offences.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Source: ,,,,,,,,,,,
"Statistics Canada. Table 35-10-0184-01 Incident-based crime statistics, by detailed violations, police services in British Columbia, annual (number unless otherwise noted)",,,,,,,,,,,
"(accessed August 2, 2022)",,,,,,,,,,,